TERM_NAME,DEFINITION,Text
Severity 2,"The problem is serious. The problem causes a minor impact to continued testing, causes no or extremely limited data loss, or is a serious problem that only a small subset of customers will experience.  All customers who experience the issue may call technical support.  The problem is an inconvenience for the customer in using a core part of the product, and will immediately cause the customer to view the quality of the product as low.","###Human:\nWhat is Severity 2 in Dell context?\n\n###Asistant:\nThe problem is serious. The problem causes a minor impact to continued testing, causes no or extremely limited data loss, or is a serious problem that only a small subset of customers will experience.  All customers who experience the issue may call technical support.  The problem is an inconvenience for the customer in using a core part of the product, and will immediately cause the customer to view the quality of the product as low."
SEWP,Solutions for Enterprise-Wide Procurement - multi-award Government-Wide Acquisition Contract (GWAC) vehicle focused on IT products and product based services.,###Human:\nWhat is SEWP in Dell context?\n\n###Asistant:\nSolutions for Enterprise-Wide Procurement - multi-award Government-Wide Acquisition Contract (GWAC) vehicle focused on IT products and product based services.
SFDC,"Sales Force Dot Com - Salesforce.com is an on-demand Customer Relationship Management (CRM) solutions tool.  It is used to manage relationships with customers and stakeholders.  Currently, the tool is used to manage accounts, contacts, opportunities and related activities.

","###Human:\nWhat is SFDC in Dell context?\n\n###Asistant:\nSales Force Dot Com - Salesforce.com is an on-demand Customer Relationship Management (CRM) solutions tool.  It is used to manage relationships with customers and stakeholders.  Currently, the tool is used to manage accounts, contacts, opportunities and related activities.

"
SFE,Sales Force Efficiency,###Human:\nWhat is SFE in Dell context?\n\n###Asistant:\nSales Force Efficiency
SFF,Small Form Factor,###Human:\nWhat is SFF in Dell context?\n\n###Asistant:\nSmall Form Factor
SFO,Solutions Front Office,###Human:\nWhat is SFO in Dell context?\n\n###Asistant:\nSolutions Front Office
SFP,Small Form Factor Pluggable,###Human:\nWhat is SFP in Dell context?\n\n###Asistant:\nSmall Form Factor Pluggable
SFP,"Single-Function Printer - Printer that can only perform printing tasks (no copying, scanning or faxing capabilities).
","###Human:\nWhat is SFP in Dell context?\n\n###Asistant:\nSingle-Function Printer - Printer that can only perform printing tasks (no copying, scanning or faxing capabilities).
"
SFP,Service Functional Plan,###Human:\nWhat is SFP in Dell context?\n\n###Asistant:\nService Functional Plan
SFPM,"Services Functional Program Manager - interface between the Worlwide Services Program Manager and the extended Services functions i.e. skus, part, Tech Support etc...","###Human:\nWhat is SFPM in Dell context?\n\n###Asistant:\nServices Functional Program Manager - interface between the Worlwide Services Program Manager and the extended Services functions i.e. skus, part, Tech Support etc..."
SFQE,Supplier Factory Quality Engineer,###Human:\nWhat is SFQE in Dell context?\n\n###Asistant:\nSupplier Factory Quality Engineer
SFS,Server Fabric Switches - Multi-fabric Server Switches combine a high performance InfiniBand server interconnect with Ethernet and Fibre Channel gateways. This enables an entire fabric of servers to share virtualized pools of I/O and storage resources connected through Cisco Catalyst or MDS switches.,###Human:\nWhat is SFS in Dell context?\n\n###Asistant:\nServer Fabric Switches - Multi-fabric Server Switches combine a high performance InfiniBand server interconnect with Ethernet and Fibre Channel gateways. This enables an entire fabric of servers to share virtualized pools of I/O and storage resources connected through Cisco Catalyst or MDS switches.
sfw,Software,###Human:\nWhat is sfw in Dell context?\n\n###Asistant:\nSoftware
SGML,Standard Generalized Markup Language,###Human:\nWhat is SGML in Dell context?\n\n###Asistant:\nStandard Generalized Markup Language
SGP,"Singapore location code - Region - APJ","###Human:\nWhat is SGP in Dell context?\n\n###Asistant:\nSingapore location code - Region - APJ"
SGRAM,Synchronous Graphics RAM,###Human:\nWhat is SGRAM in Dell context?\n\n###Asistant:\nSynchronous Graphics RAM
SH,Satellite Hub,###Human:\nWhat is SH in Dell context?\n\n###Asistant:\nSatellite Hub
SHA,Secure Hash Algorithm  - A family or set of related cryptographic hash functions.  SHA-1 is most commonly used function.  Use of unique salt value in the hashing function reduces the chances of a hashed value collision,###Human:\nWhat is SHA in Dell context?\n\n###Asistant:\nSecure Hash Algorithm  - A family or set of related cryptographic hash functions.  SHA-1 is most commonly used function.  Use of unique salt value in the hashing function reduces the chances of a hashed value collision
Shadow File Processing,An approach to data backup in which real-time duplicates of critical files are maintained at a remote processing site.  SIMILAR TERMS; Remote Mirroring.,###Human:\nWhat is Shadow File Processing in Dell context?\n\n###Asistant:\nAn approach to data backup in which real-time duplicates of critical files are maintained at a remote processing site.  SIMILAR TERMS; Remote Mirroring.
Shadowing,A computer's system and video BIOS code is usually stored on ROM chips. Shadowing refers to the performance-enhancement technique that copies BIOS code to faster RAM chips in the upper memory area (above 640 KB) during the boot routine.,###Human:\nWhat is Shadowing in Dell context?\n\n###Asistant:\nA computer's system and video BIOS code is usually stored on ROM chips. Shadowing refers to the performance-enhancement technique that copies BIOS code to faster RAM chips in the upper memory area (above 640 KB) during the boot routine.
SHARE,"Dell Perot Systems online collaboration tool that runs on SharePoint 2007
","###Human:\nWhat is SHARE in Dell context?\n\n###Asistant:\nDell Perot Systems online collaboration tool that runs on SharePoint 2007
"
Share captial,The total put in by the shareholders.,###Human:\nWhat is Share captial in Dell context?\n\n###Asistant:\nThe total put in by the shareholders.
Shareholder Value,"The ability of Dell or any corporation to return benefits to stockholders, in the forms of higher share prices or increased dividends, or both. In both 1996 and 1997, Dell was the top-performing stock on several major stock indexes.","###Human:\nWhat is Shareholder Value in Dell context?\n\n###Asistant:\nThe ability of Dell or any corporation to return benefits to stockholders, in the forms of higher share prices or increased dividends, or both. In both 1996 and 1997, Dell was the top-performing stock on several major stock indexes."
Shareholders,The owners of the business.,###Human:\nWhat is Shareholders in Dell context?\n\n###Asistant:\nThe owners of the business.
Shares,The way the shareholders split up their contributions and their ownership of the company - each share represents an amount originally put into the company (e.g. $2.00); each shareholder owns a fraction of the company in proportion to that individual?s fraction of the total share capital.,###Human:\nWhat is Shares in Dell context?\n\n###Asistant:\nThe way the shareholders split up their contributions and their ownership of the company - each share represents an amount originally put into the company (e.g. $2.00); each shareholder owns a fraction of the company in proportion to that individual?s fraction of the total share capital.
Shareware,"Software available for use free of charge until it is deemed useful by the user, at which time a fee is requested","###Human:\nWhat is Shareware in Dell context?\n\n###Asistant:\nSoftware available for use free of charge until it is deemed useful by the user, at which time a fee is requested"
SHD,Super Help Desk,###Human:\nWhat is SHD in Dell context?\n\n###Asistant:\nSuper Help Desk
SHG,"Shanghai, China location code - Region - APJ","###Human:\nWhat is SHG in Dell context?\n\n###Asistant:\nShanghai, China location code - Region - APJ"
Shift-JIS,"A multi byte encoding, combining ASCII and single-byte Kana with double-byte codes for the characters in the JIS standard X 0208. The codes are numerically shifted, hence the name. Bytes in the ranges 0x81-0x9f and 0xE0-0xFC are leading bytes. Comparable encodings exist for Chinese and Korean, with different lead byte ranges.","###Human:\nWhat is Shift-JIS in Dell context?\n\n###Asistant:\nA multi byte encoding, combining ASCII and single-byte Kana with double-byte codes for the characters in the JIS standard X 0208. The codes are numerically shifted, hence the name. Bytes in the ranges 0x81-0x9f and 0xE0-0xFC are leading bytes. Comparable encodings exist for Chinese and Korean, with different lead byte ranges."
Shipping,Product Shipping,###Human:\nWhat is Shipping in Dell context?\n\n###Asistant:\nProduct Shipping
Ship-to-Target,A measure of success in processing orders and shipping equipment on time. It measures our success at shipping orders within five business days of receiving them.,###Human:\nWhat is Ship-to-Target in Dell context?\n\n###Asistant:\nA measure of success in processing orders and shipping equipment on time. It measures our success at shipping orders within five business days of receiving them.
SHO,Short Order,###Human:\nWhat is SHO in Dell context?\n\n###Asistant:\nShort Order
Short Order,"An order, with the total amount equal to $ 0, placed when the customer buys something that is not delivered at first.
","###Human:\nWhat is Short Order in Dell context?\n\n###Asistant:\nAn order, with the total amount equal to $ 0, placed when the customer buys something that is not delivered at first.
"
Short Ship,"Proactive short ship
","###Human:\nWhat is Short Ship in Dell context?\n\n###Asistant:\nProactive short ship
"
SHP,Part has been Shipped,###Human:\nWhat is SHP in Dell context?\n\n###Asistant:\nPart has been Shipped
SHWIP,Shippable wip ,###Human:\nWhat is SHWIP in Dell context?\n\n###Asistant:\nShippable wip 
SI,Signal Integrity,###Human:\nWhat is SI in Dell context?\n\n###Asistant:\nSignal Integrity
SI,Systems Integration - A Dell'semi-custom manufacturing capability. Prefered term is now Dell PLUS.,###Human:\nWhat is SI in Dell context?\n\n###Asistant:\nSystems Integration - A Dell'semi-custom manufacturing capability. Prefered term is now Dell PLUS.
SI,CFI Project number term - SI Number programme will allow CFI Projects to be set up in a matter of hours rather than days by allowing easier ordering on GEDIS and easier process set up. ,###Human:\nWhat is SI in Dell context?\n\n###Asistant:\nCFI Project number term - SI Number programme will allow CFI Projects to be set up in a matter of hours rather than days by allowing easier ordering on GEDIS and easier process set up. 
SI,"System Integrator - The SI is typically a company that has been commissioned to set up systems for their customer (another company, the EU). The SI is an example of an Indirect Customer","###Human:\nWhat is SI in Dell context?\n\n###Asistant:\nSystem Integrator - The SI is typically a company that has been commissioned to set up systems for their customer (another company, the EU). The SI is an example of an Indirect Customer"
SI Number ,"The DellPlus-assigned 6-digit unique number that is a required field in the order entry process to integrate the DellPlus effort with the standard Dell processes.  All DellPlus accounts are referred to with this unique number. (ex - 123456 -  Joe Customer, Inc.)  Also known as a ""Project Number"".","###Human:\nWhat is SI Number  in Dell context?\n\n###Asistant:\nThe DellPlus-assigned 6-digit unique number that is a required field in the order entry process to integrate the DellPlus effort with the standard Dell processes.  All DellPlus accounts are referred to with this unique number. (ex - 123456 -  Joe Customer, Inc.)  Also known as a ""Project Number""."
SIAS,Standard Intel Architecture Servers,###Human:\nWhat is SIAS in Dell context?\n\n###Asistant:\nStandard Intel Architecture Servers
SIC,Standard Industrial Code - is a number used to specify what industry a particular company belongs to.,###Human:\nWhat is SIC in Dell context?\n\n###Asistant:\nStandard Industrial Code - is a number used to specify what industry a particular company belongs to.
SID,Solutions Integration Document - Excel spreadsheet that contains all necessary information relating to the deployment of a solution. i.e. installation of a compellent SAN in a customer environment.,###Human:\nWhat is SID in Dell context?\n\n###Asistant:\nSolutions Integration Document - Excel spreadsheet that contains all necessary information relating to the deployment of a solution. i.e. installation of a compellent SAN in a customer environment.
SID,"The Security Identifier - a unique security identifier for certain PC operating systems. This ensures that user and group-level security is maintained across a network. It provides a clear marker for Microsoft technical support to determine if the PC has been cloned. The Microsoft product 'Norton Ghost' provides the capability of generating a new unique SID if required. The system uses the SID above all other information to determine the identity of the entity on the network. If SID duplication occurred on the same domain, two or more users could inadvertantly be given identical priviledges to network resources, resulting in a security breach.","###Human:\nWhat is SID in Dell context?\n\n###Asistant:\nThe Security Identifier - a unique security identifier for certain PC operating systems. This ensures that user and group-level security is maintained across a network. It provides a clear marker for Microsoft technical support to determine if the PC has been cloned. The Microsoft product 'Norton Ghost' provides the capability of generating a new unique SID if required. The system uses the SID above all other information to determine the identity of the entity on the network. If SID duplication occurred on the same domain, two or more users could inadvertantly be given identical priviledges to network resources, resulting in a security breach."
SIDs , System ID,###Human:\nWhat is SIDs  in Dell context?\n\n###Asistant:\n System ID
SIEBEL,"This is a tool sales and US Contract Order teams use to place orders
","###Human:\nWhat is SIEBEL in Dell context?\n\n###Asistant:\nThis is a tool sales and US Contract Order teams use to place orders
"
SIF,Standard Interchange Format  -  resolution of 352x240x30 fps for NTSC and 176x120x25 fps for PAL.,###Human:\nWhat is SIF in Dell context?\n\n###Asistant:\nStandard Interchange Format  -  resolution of 352x240x30 fps for NTSC and 176x120x25 fps for PAL.
SIG,Special Interest Groups Meeting,###Human:\nWhat is SIG in Dell context?\n\n###Asistant:\nSpecial Interest Groups Meeting
SIG,Simplified Idea Generation - An improvement process used for quick on-the-floor solutions,###Human:\nWhat is SIG in Dell context?\n\n###Asistant:\nSimplified Idea Generation - An improvement process used for quick on-the-floor solutions
Significant Change,"Changes affecting meaning, whether intentional or implied.  Process changes, addition and/ or deletions. (ISO)","###Human:\nWhat is Significant Change in Dell context?\n\n###Asistant:\nChanges affecting meaning, whether intentional or implied.  Process changes, addition and/ or deletions. (ISO)"
SIL,"System Information Label
","###Human:\nWhat is SIL in Dell context?\n\n###Asistant:\nSystem Information Label
"
Silver Box,The AC power supply used by the computer.  The boxes are silver in color.,###Human:\nWhat is Silver Box in Dell context?\n\n###Asistant:\nThe AC power supply used by the computer.  The boxes are silver in color.
SIM,A Subscriber Identity Module - on a removable SIM Card securely stores the service-subscriber key (IMSI) used to identify a subscriber on mobile telephony devices (such as computers) and mobile phones. The SIM card allows users to change phones by simply removing the SIM card from one mobile phone and inserting it into another mobile phone or broadband telephony device.,###Human:\nWhat is SIM in Dell context?\n\n###Asistant:\nA Subscriber Identity Module - on a removable SIM Card securely stores the service-subscriber key (IMSI) used to identify a subscriber on mobile telephony devices (such as computers) and mobile phones. The SIM card allows users to change phones by simply removing the SIM card from one mobile phone and inserting it into another mobile phone or broadband telephony device.
SIMD,Single Instruction Multiple Data,###Human:\nWhat is SIMD in Dell context?\n\n###Asistant:\nSingle Instruction Multiple Data
SIME,SnapView Intergration Module for Exchange (SIME). Used for the non-disruptive backup and recovery of an Exchange database on a SAN,###Human:\nWhat is SIME in Dell context?\n\n###Asistant:\nSnapView Intergration Module for Exchange (SIME). Used for the non-disruptive backup and recovery of an Exchange database on a SAN
SIMM,Single in-line memory module - A standard add-in board for memory expansion.,###Human:\nWhat is SIMM in Dell context?\n\n###Asistant:\nSingle in-line memory module - A standard add-in board for memory expansion.
SIN2,"Singapore 2 location code - Region - APJ ","###Human:\nWhat is SIN2 in Dell context?\n\n###Asistant:\nSingapore 2 location code - Region - APJ "
Single Dispute,Dispute logged on one invoice,###Human:\nWhat is Single Dispute in Dell context?\n\n###Asistant:\nDispute logged on one invoice
Single Promise,Promised payment in full for only one transaction,###Human:\nWhat is Single Promise in Dell context?\n\n###Asistant:\nPromised payment in full for only one transaction
Single/Sole-Sourced Component List,"A list of components on a platform BOM which are only available from a single source (sole), or for which additional sources are not/will not be qualified (single) by Dell.","###Human:\nWhat is Single/Sole-Sourced Component List in Dell context?\n\n###Asistant:\nA list of components on a platform BOM which are only available from a single source (sole), or for which additional sources are not/will not be qualified (single) by Dell."
SINT0/1/2/3/4 ,Development servers used by Project Engineering when engineering a DellPlus project.,###Human:\nWhat is SINT0/1/2/3/4  in Dell context?\n\n###Asistant:\nDevelopment servers used by Project Engineering when engineering a DellPlus project.
SIO,System I/O,###Human:\nWhat is SIO in Dell context?\n\n###Asistant:\nSystem I/O
SIP,System Interface Pod,###Human:\nWhat is SIP in Dell context?\n\n###Asistant:\nSystem Interface Pod
SIP,Supplier Improvement Plan,###Human:\nWhat is SIP in Dell context?\n\n###Asistant:\nSupplier Improvement Plan
SIP,Ship in PUDO,###Human:\nWhat is SIP in Dell context?\n\n###Asistant:\nShip in PUDO
SIP,"Strategic Investment Program - a Corporate program to grow our SMB Enterprise, Solutions, Services and Software Cloud businesses Globally - by investing in people, training, equipment, research and Marketing resources
","###Human:\nWhat is SIP in Dell context?\n\n###Asistant:\nStrategic Investment Program - a Corporate program to grow our SMB Enterprise, Solutions, Services and Software Cloud businesses Globally - by investing in people, training, equipment, research and Marketing resources
"
SIPC,Simply Interactive Personal Computer - Microsoft's response to Intel's NSP.,###Human:\nWhat is SIPC in Dell context?\n\n###Asistant:\nSimply Interactive Personal Computer - Microsoft's response to Intel's NSP.
SIPOC,"Suppliers Inputs Processes Outputs Customers - BPI term. Same as COPIS, but COPIS is preferred term at Dell due to customer focus.","###Human:\nWhat is SIPOC in Dell context?\n\n###Asistant:\nSuppliers Inputs Processes Outputs Customers - BPI term. Same as COPIS, but COPIS is preferred term at Dell due to customer focus."
SIPOC,"A SIPOC diagram is a tool used by a team to identify all relevant elements of a process improvement project before work begins. It helps define a complex project that may not be well scoped, and is typically employed at the Measure phase of the Six Sigma DMAIC methodology. It is similar and related to Process Mapping and 'In/Out Of Scope' tools, but provides additional detail.","###Human:\nWhat is SIPOC in Dell context?\n\n###Asistant:\nA SIPOC diagram is a tool used by a team to identify all relevant elements of a process improvement project before work begins. It helps define a complex project that may not be well scoped, and is typically employed at the Measure phase of the Six Sigma DMAIC methodology. It is similar and related to Process Mapping and 'In/Out Of Scope' tools, but provides additional detail."
SIPP,"Supplier Integrated Piece Part - The system collects and validates Piece part IDs (PPIDs)from suppliers and then sends the data to WTCS (WIP [Work In Progress] Tracking and Control System).","###Human:\nWhat is SIPP in Dell context?\n\n###Asistant:\nSupplier Integrated Piece Part - The system collects and validates Piece part IDs (PPIDs)from suppliers and then sends the data to WTCS (WIP [Work In Progress] Tracking and Control System)."
SIR,"System Information System - A program that houses information on the systems we support. Information like owner, platform, problems, schedule, support personal, system information, and users of the system.","###Human:\nWhat is SIR in Dell context?\n\n###Asistant:\nSystem Information System - A program that houses information on the systems we support. Information like owner, platform, problems, schedule, support personal, system information, and users of the system."
SIR,SIR - Service Level Ratio,###Human:\nWhat is SIR in Dell context?\n\n###Asistant:\nSIR - Service Level Ratio
SIR,Successful Interval Rate,###Human:\nWhat is SIR in Dell context?\n\n###Asistant:\nSuccessful Interval Rate
SIS,System Integration Specification,###Human:\nWhat is SIS in Dell context?\n\n###Asistant:\nSystem Integration Specification
SIS,Service Indicent Exchange Standard.,###Human:\nWhat is SIS in Dell context?\n\n###Asistant:\nService Indicent Exchange Standard.
SIS,Sales Information System (GeneSys). ,###Human:\nWhat is SIS in Dell context?\n\n###Asistant:\nSales Information System (GeneSys). 
SIT,"System Integration Testing
","###Human:\nWhat is SIT in Dell context?\n\n###Asistant:\nSystem Integration Testing
"
SIT,Supervisor In Training,###Human:\nWhat is SIT in Dell context?\n\n###Asistant:\nSupervisor In Training
Site Lead,"A hierarchy entity in the Sales organization. A role, that is supervisory in nature, to ""Regional Sales Manager(s)"". The entity typically reports into a ""Director"".
","###Human:\nWhat is Site Lead in Dell context?\n\n###Asistant:\nA hierarchy entity in the Sales organization. A role, that is supervisory in nature, to ""Regional Sales Manager(s)"". The entity typically reports into a ""Director"".
"
Six,"Sigma Quality -  A term used generally to indicate that a process is well-controlled, i.e., ± 3 sigma from the centerline in a control chart.  The term is usually associated with Motorola, which named one of its key operational initiatives ""Six Sigma Quality.""","###Human:\nWhat is Six in Dell context?\n\n###Asistant:\nSigma Quality -  A term used generally to indicate that a process is well-controlled, i.e., ± 3 sigma from the centerline in a control chart.  The term is usually associated with Motorola, which named one of its key operational initiatives ""Six Sigma Quality."""
SK-BRA,"Bratislava, Slovakia location code - Region - EMEA","###Human:\nWhat is SK-BRA in Dell context?\n\n###Asistant:\nBratislava, Slovakia location code - Region - EMEA"
SKD,"Semi Knocked Down - An incomplete parts kit to make something (a car, a computer, etc.) See also CKD","###Human:\nWhat is SKD in Dell context?\n\n###Asistant:\nSemi Knocked Down - An incomplete parts kit to make something (a car, a computer, etc.) See also CKD"
SKELETON,"Skeleton invoice masters let you establish general ledger distribution accounts and percentages for invoice amounts that may vary from month to month, but are always distributed in the same way.  ","###Human:\nWhat is SKELETON in Dell context?\n\n###Asistant:\nSkeleton invoice masters let you establish general ledger distribution accounts and percentages for invoice amounts that may vary from month to month, but are always distributed in the same way.  "
Skill,An ability that has been acquired or developed through training or experience. ,###Human:\nWhat is Skill in Dell context?\n\n###Asistant:\nAn ability that has been acquired or developed through training or experience. 
Skinit,Skinit is a custom skin customers can order to change the appearance of their Dell computer. ,###Human:\nWhat is Skinit in Dell context?\n\n###Asistant:\nSkinit is a custom skin customers can order to change the appearance of their Dell computer. 
SKU,"Stock Keeping Unit - in the Dell or DFS environment, the equivalent of a final assembly for sales purposes.  A SKU is the item sold.  Example - when Dell is selling a computer, the salesperson places a build order for a base SKU, a HD SKU, a memory SKU, etc. to be assembled into the final unit.  The SKUs generally reside in the BOM at level one.","###Human:\nWhat is SKU in Dell context?\n\n###Asistant:\nStock Keeping Unit - in the Dell or DFS environment, the equivalent of a final assembly for sales purposes.  A SKU is the item sold.  Example - when Dell is selling a computer, the salesperson places a build order for a base SKU, a HD SKU, a memory SKU, etc. to be assembled into the final unit.  The SKUs generally reside in the BOM at level one."
SKU,"Stock Keeping Unit - an identifier that is used by merchants to permit the systematic tracking of products and services offered to customers. (It can be pronounced as either skew or ""ess-kay-you"".) Usage of the SKU system is rooted in the drill down method, pertaining to data management. SKUs are assigned and serialized at the merchant level. Each SKU is attached to an item, variant, product line, bundle, service, fee or attachment. SKUs point to the highest-level part number(s), which gives sales flexibility with ordering, pricing, product transitions, etc. The SKU is an identifier that represents orderable parts or groups of parts. A Dell'standard SKU is a seven digit SKU with a hyphen after the third digit (XXX-XXXX). Dell ware could be XX-XXXXX, XXXXX-XX or XXXXXX SKU’s are used for sales order entry to allow greater flexibility and added ease with configuring systems. ","###Human:\nWhat is SKU in Dell context?\n\n###Asistant:\nStock Keeping Unit - an identifier that is used by merchants to permit the systematic tracking of products and services offered to customers. (It can be pronounced as either skew or ""ess-kay-you"".) Usage of the SKU system is rooted in the drill down method, pertaining to data management. SKUs are assigned and serialized at the merchant level. Each SKU is attached to an item, variant, product line, bundle, service, fee or attachment. SKUs point to the highest-level part number(s), which gives sales flexibility with ordering, pricing, product transitions, etc. The SKU is an identifier that represents orderable parts or groups of parts. A Dell'standard SKU is a seven digit SKU with a hyphen after the third digit (XXX-XXXX). Dell ware could be XX-XXXXX, XXXXX-XX or XXXXXX SKU’s are used for sales order entry to allow greater flexibility and added ease with configuring systems. "
SKU,"Salable, Kittable Unit
","###Human:\nWhat is SKU in Dell context?\n\n###Asistant:\nSalable, Kittable Unit
"
SKU,"Stock Keeping Unit  - Marketable and Sellable item consisting of one or more Mods with associated Rules, Descriptions, Costs and Prices. The management of SKU data is decentralized to align the groups with the operations they support, each modify their respective SKUs independently as directed by the Centers of Competencies (CoC), Segment Marketing and Segment Finance. 
","###Human:\nWhat is SKU in Dell context?\n\n###Asistant:\nStock Keeping Unit  - Marketable and Sellable item consisting of one or more Mods with associated Rules, Descriptions, Costs and Prices. The management of SKU data is decentralized to align the groups with the operations they support, each modify their respective SKUs independently as directed by the Centers of Competencies (CoC), Segment Marketing and Segment Finance. 
"
SKU Repoint,An update type to modify the SKU to mod relationship to relate a SKU to a different mod or list of Mods. This allows currently pending orders to download calling for new parts to assure orders in process are not impacted by supplier changes or engineering changes.,###Human:\nWhat is SKU Repoint in Dell context?\n\n###Asistant:\nAn update type to modify the SKU to mod relationship to relate a SKU to a different mod or list of Mods. This allows currently pending orders to download calling for new parts to assure orders in process are not impacted by supplier changes or engineering changes.
SKU Sequence,"The system-generated sequence of SKUs under the option.
","###Human:\nWhat is SKU Sequence in Dell context?\n\n###Asistant:\nThe system-generated sequence of SKUs under the option.
"
SL,"Service Level
","###Human:\nWhat is SL in Dell context?\n\n###Asistant:\nService Level
"
SL,Sales Leader,###Human:\nWhat is SL in Dell context?\n\n###Asistant:\nSales Leader
SL,Service Logistics,###Human:\nWhat is SL in Dell context?\n\n###Asistant:\nService Logistics
SL,"Service Level - ( Acceptable Calls ) / ( Offered Calls )","###Human:\nWhat is SL in Dell context?\n\n###Asistant:\nService Level - ( Acceptable Calls ) / ( Offered Calls )"
SLA,"Service Level Agreement - a contractual document between an in-house or outsourced IT service provider and the customer. It defines the service responsibilities and targets of the participants. An SLA is a vital requirement for SLM as it defines the scope of a service, response and resolution times of service requests, and conditions under which the service will be provided. ","###Human:\nWhat is SLA in Dell context?\n\n###Asistant:\nService Level Agreement - a contractual document between an in-house or outsourced IT service provider and the customer. It defines the service responsibilities and targets of the participants. An SLA is a vital requirement for SLM as it defines the scope of a service, response and resolution times of service requests, and conditions under which the service will be provided. "
SlaaS,Software Infrastructure as a Service,###Human:\nWhat is SlaaS in Dell context?\n\n###Asistant:\nSoftware Infrastructure as a Service
SLC,Supplier Logistics Center,###Human:\nWhat is SLC in Dell context?\n\n###Asistant:\nSupplier Logistics Center
SLED,SUSE Linux Enterprise Desktop - An operating system provided by Novell for use in Dell Business systems.,###Human:\nWhat is SLED in Dell context?\n\n###Asistant:\nSUSE Linux Enterprise Desktop - An operating system provided by Novell for use in Dell Business systems.
SLES,Suse Linux Enterprise Server - Novell's flavor of Linux.,###Human:\nWhat is SLES in Dell context?\n\n###Asistant:\nSuse Linux Enterprise Server - Novell's flavor of Linux.
SLG,State and Local Government market or sales group.,###Human:\nWhat is SLG in Dell context?\n\n###Asistant:\nState and Local Government market or sales group.
SLI,Shipper's Letter of Instructions,###Human:\nWhat is SLI in Dell context?\n\n###Asistant:\nShipper's Letter of Instructions
SLI,Scalable Link Interface - a method developed by NVIDIA for linking two (or more) video cards together to produce a single output with very high resolution.,###Human:\nWhat is SLI in Dell context?\n\n###Asistant:\nScalable Link Interface - a method developed by NVIDIA for linking two (or more) video cards together to produce a single output with very high resolution.
SLIM,"State, local, industry solutions and medical.","###Human:\nWhat is SLIM in Dell context?\n\n###Asistant:\nState, local, industry solutions and medical."
SLIP,Serial Line Internet Protocol - A predecessor to PPP. Protocol for dial-up connection to TCP/IP based networks such as the Internet.,###Human:\nWhat is SLIP in Dell context?\n\n###Asistant:\nSerial Line Internet Protocol - A predecessor to PPP. Protocol for dial-up connection to TCP/IP based networks such as the Internet.
SLM,Software License Management,###Human:\nWhat is SLM in Dell context?\n\n###Asistant:\nSoftware License Management
SLM,"Service Level Management - The six key elements of SLM are Service Level Agreements, Operational Level Agreements, Underpinning Contracts, effective reporting, service catalog, and implementation of a toolset.","###Human:\nWhat is SLM in Dell context?\n\n###Asistant:\nService Level Management - The six key elements of SLM are Service Level Agreements, Operational Level Agreements, Underpinning Contracts, effective reporting, service catalog, and implementation of a toolset."
SLO,Service Level Objective,###Human:\nWhat is SLO in Dell context?\n\n###Asistant:\nService Level Objective
SLOP,"Service Large order process, for definition see LOP","###Human:\nWhat is SLOP in Dell context?\n\n###Asistant:\nService Large order process, for definition see LOP"
SLP,"Safe Launch Plan  - Safe Launch is used to ensure a quality product launch and a quality post RTS ramp. Reduces STOPBUILD/STOP SHIP occurrences after the release of a new product.","###Human:\nWhat is SLP in Dell context?\n\n###Asistant:\nSafe Launch Plan  - Safe Launch is used to ensure a quality product launch and a quality post RTS ramp. Reduces STOPBUILD/STOP SHIP occurrences after the release of a new product."
SLP,"System Locked Preinstallation
","###Human:\nWhat is SLP in Dell context?\n\n###Asistant:\nSystem Locked Preinstallation
"
SLPC,Service Logistics Partner Connectivity,###Human:\nWhat is SLPC in Dell context?\n\n###Asistant:\nService Logistics Partner Connectivity
SLPM,Service Logistics Program Manager,###Human:\nWhat is SLPM in Dell context?\n\n###Asistant:\nService Logistics Program Manager
SLR,Service Logistics Receiving - User interface used to automate transactions into Glovia.,###Human:\nWhat is SLR in Dell context?\n\n###Asistant:\nService Logistics Receiving - User interface used to automate transactions into Glovia.
SLT,Services Leadership Team - direct reports and senior executives to Dell Perot Systems President,###Human:\nWhat is SLT in Dell context?\n\n###Asistant:\nServices Leadership Team - direct reports and senior executives to Dell Perot Systems President
SLT,"Senior Leadership Team see also ELT - Executive Leadership Team
","###Human:\nWhat is SLT in Dell context?\n\n###Asistant:\nSenior Leadership Team see also ELT - Executive Leadership Team
"
SLTR,System Level Technology Roadmap - document defining system content transitions from initial release to end of life.,###Human:\nWhat is SLTR in Dell context?\n\n###Asistant:\nSystem Level Technology Roadmap - document defining system content transitions from initial release to end of life.
SM,Server Management,###Human:\nWhat is SM in Dell context?\n\n###Asistant:\nServer Management
SM,Sales Manager,###Human:\nWhat is SM in Dell context?\n\n###Asistant:\nSales Manager
SMA,Supplier Matuarity Assessment,###Human:\nWhat is SMA in Dell context?\n\n###Asistant:\nSupplier Matuarity Assessment
SMA,Strategic Marketing Analyst,###Human:\nWhat is SMA in Dell context?\n\n###Asistant:\nStrategic Marketing Analyst
SMaC,Social Media and Communities,###Human:\nWhat is SMaC in Dell context?\n\n###Asistant:\nSocial Media and Communities
